set_name,item_id,qty_required
Plushie_Set,384,1
Plushie_Set,273,1
Plushie_Set,258,1
Plushie_Set,215,1
Plushie_Set,281,1
Plushie_Set,269,1
Plushie_Set,266,1
Plushie_Set,274,1
Plushie_Set,268,1
Plushie_Set,186,1
Plushie_Set,618,1
Plushie_Set,187,1
Plushie_Set,261,1
Flower_Set,282,1
Flower_Set,617,1
Flower_Set,271,1
Flower_Set,277,1
Flower_Set,263,1
Flower_Set,260,1
Flower_Set,272,1
Flower_Set,267,1
Flower_Set,264,1
Flower_Set,276,1
Flower_Set,385,1
Meteorite_Fragment,1488,1
Arrowhead_Set,1499,1
Arrowhead_Set,1500,1
Arrowhead_Set,1501,1
Arrowhead_Set,1502,1
Arrowhead_Set,1503,1
Arrowhead_Set,1504,1
Patagonian_Fossil,1487,1
Coin_Set,450,1
Coin_Set,451,1
Coin_Set,452,1
Vairocana_Buddha,454,1
Ganesha_Sculpture,453,1
Shabti_Sculpture,458,1
Companion_Script_Set,455,1
Companion_Script_Set,456,1
Companion_Script_Set,457,1
Senet_Game_Set,460,5
Senet_Game_Set,461,5
Senet_Game_Set,462,1
Egyptian_Amulet,459,1
